"","n_esc","PP","PSOE","MM","Vox","UP","Cs"
"1",0,0,0,0,3.8,15.28,69.7
"2",1,0,0,0,0,0,0
"3",2,0,0,0,0,0,0
"4",3,0,0,0,0,0,0
"5",4,0,0,0,0,0,0
"6",5,0,0,0,0,0,0
"7",6,0,0,0,0.06,0.2,1.58
"8",7,0,0,0,1.66,5.71,8.81
"9",8,0,0,0,3.97,9.6,7.89
"10",9,0,0,0.01,6.18,11.83,5.38
"11",10,0,0,0,8.14,12.3,3.28
"12",11,0,0,0.01,10.76,12.64,1.75
"13",12,0,0,0.04,11.66,10.45,0.93
"14",13,0,0,0.19,12.59,8.08,0.44
"15",14,0,0,0.34,11.72,5.66,0.09
"16",15,0,0.01,0.74,9.36,3.86,0.11
"17",16,0,0.03,1.52,7.61,2.25,0.01
"18",17,0,0.08,2.25,5.38,1.14,0.03
"19",18,0,0.15,3.51,3.36,0.6,0
"20",19,0,0.32,5.25,2.07,0.27,0
"21",20,0,0.77,6.8,0.87,0.11,0
"22",21,0,1.11,8.88,0.47,0.01,0
"23",22,0,2.11,10.02,0.17,0.01,0
"24",23,0,2.99,10.72,0.11,0,0
"25",24,0,4.35,10.79,0.04,0,0
"26",25,0,6.93,9.6,0.02,0,0
"27",26,0,8.23,8.46,0,0,0
"28",27,0,9.35,6.76,0,0,0
"29",28,0,10.95,5.12,0,0,0
"30",29,0,10.85,3.22,0,0,0
"31",30,0,9.55,2.36,0,0,0
"32",31,0,8.81,1.56,0,0,0
"33",32,0,7.36,0.95,0,0,0
"34",33,0,5.34,0.45,0,0,0
"35",34,0,3.65,0.25,0,0,0
"36",35,0,2.83,0.07,0,0,0
"37",36,0,1.81,0.08,0,0,0
"38",37,0,1,0.02,0,0,0
"39",38,0,0.71,0.01,0,0,0
"40",39,0,0.3,0.02,0,0,0
"41",40,0,0.21,0,0,0,0
"42",41,0,0.07,0,0,0,0
"43",42,0.01,0.06,0,0,0,0
"44",43,0,0.02,0,0,0,0
"45",44,0.04,0.03,0,0,0,0
"46",45,0.05,0.01,0,0,0,0
"47",46,0.11,0.01,0,0,0,0
"48",47,0.24,0,0,0,0,0
"49",48,0.47,0,0,0,0,0
"50",49,0.78,0,0,0,0,0
"51",50,0.96,0,0,0,0,0
"52",51,2.12,0,0,0,0,0
"53",52,2.73,0,0,0,0,0
"54",53,3.45,0,0,0,0,0
"55",54,4.31,0,0,0,0,0
"56",55,5.68,0,0,0,0,0
"57",56,7.05,0,0,0,0,0
"58",57,7.76,0,0,0,0,0
"59",58,8.72,0,0,0,0,0
"60",59,8.7,0,0,0,0,0
"61",60,8.57,0,0,0,0,0
"62",61,7.71,0,0,0,0,0
"63",62,6.82,0,0,0,0,0
"64",63,5.75,0,0,0,0,0
"65",64,4.65,0,0,0,0,0
"66",65,3.75,0,0,0,0,0
"67",66,2.68,0,0,0,0,0
"68",67,2.2,0,0,0,0,0
"69",68,1.47,0,0,0,0,0
"70",69,1.03,0,0,0,0,0
"71",70,0.86,0,0,0,0,0
"72",71,0.46,0,0,0,0,0
"73",72,0.34,0,0,0,0,0
"74",73,0.14,0,0,0,0,0
"75",74,0.16,0,0,0,0,0
"76",75,0.06,0,0,0,0,0
"77",76,0.09,0,0,0,0,0
"78",77,0.05,0,0,0,0,0
"79",78,0.01,0,0,0,0,0
"80",79,0,0,0,0,0,0
"81",80,0.01,0,0,0,0,0
"82",81,0,0,0,0,0,0
"83",82,0.01,0,0,0,0,0
"84",83,0,0,0,0,0,0
"85",84,0,0,0,0,0,0
"86",85,0,0,0,0,0,0
"87",86,0,0,0,0,0,0
"88",87,0,0,0,0,0,0
"89",88,0,0,0,0,0,0
"90",89,0,0,0,0,0,0
"91",90,0,0,0,0,0,0
"92",91,0,0,0,0,0,0
"93",92,0,0,0,0,0,0
"94",93,0,0,0,0,0,0
"95",94,0,0,0,0,0,0
"96",95,0,0,0,0,0,0
"97",96,0,0,0,0,0,0
"98",97,0,0,0,0,0,0
"99",98,0,0,0,0,0,0
"100",99,0,0,0,0,0,0
"101",100,0,0,0,0,0,0
