"","fecha","PP","PSOE","MM","Vox","UP","Cs","Derecha","Izquierda","PP.min","PSOE.min","MM.min","Vox.min","UP.min","Cs.min","Derecha.min","Izquierda.min","PP.max","PSOE.max","MM.max","Vox.max","UP.max","Cs.max","Derecha.max","Izquierda.max"
"1",2021-03-10,30.7,26.9,12.8,16.5,5.3,6.2,53.3,44.9,27.1,23.4,9.4,13.2,2.3,3.2,47.9,39.8,34.3,30.4,16.1,19.7,8.3,9.2,58.8,50.1
"2",2021-03-11,33.7,27.7,12.3,14.4,5.1,5.5,53.6,45.1,30,24.2,9,11.2,2.2,2.6,48.2,40.1,37.4,31.3,15.6,17.6,8,8.5,59,50.2
"3",2021-03-12,34.8,27.5,12,13.5,5.5,4.9,53.3,45,31.2,24,8.7,10.3,2.5,2,47.8,39.9,38.5,31.1,15.4,16.7,8.5,7.8,58.7,50.1
"4",2021-03-13,34.6,27.5,12,13.5,5.3,5.2,53.4,44.9,30.9,23.9,8.7,10.3,2.4,2.3,47.9,39.8,38.3,31.1,15.4,16.7,8.2,8.2,58.8,50.1
"5",2021-03-14,34.6,27.5,12.1,13.5,5.4,5.3,53.3,45,30.9,23.9,8.8,10.2,2.4,2.3,47.9,39.8,38.2,31,15.4,16.7,8.3,8.2,58.7,50.2
"6",2021-03-15,35.6,27.1,12,12.7,6.1,5.1,53.5,45.2,31.9,23.5,8.6,9.5,3.1,2.1,48.1,40,39.4,30.6,15.3,15.9,9.1,8.1,58.9,50.3
"7",2021-03-16,36.3,26.3,11.6,12.1,7.1,4.8,53.2,45,32.6,22.8,8.3,9,4.2,1.8,47.8,39.9,40,29.9,15,15.2,10.1,7.7,58.5,50.2
"8",2021-03-17,36.8,26.3,11.5,11.8,7.3,4.7,53.2,45.1,33.2,22.8,8.2,8.6,4.3,1.8,47.9,40,40.5,29.8,14.8,14.9,10.4,7.6,58.6,50.3
"9",2021-03-18,36.8,26.3,11.6,11.7,7.4,4.7,53.2,45.2,33.1,22.7,8.2,8.5,4.3,1.8,47.8,40.1,40.4,29.8,14.9,14.9,10.5,7.7,58.7,50.4
"10",2021-03-19,36.9,26.3,11.5,11.7,7.3,4.6,53.2,45.1,33.2,22.7,8.2,8.5,4.3,1.7,47.8,39.9,40.6,29.9,14.8,14.9,10.3,7.5,58.6,50.2
"11",2021-03-20,37,26.1,11.4,11.6,7.6,4.7,53.4,45.1,33.3,22.6,8,8.5,4.6,1.7,48,40,40.7,29.7,14.7,14.8,10.7,7.7,58.8,50.3
"12",2021-03-21,37.9,26.1,11.2,10.8,7.8,4.6,53.3,45,34.2,22.6,7.9,7.7,4.7,1.7,47.9,39.9,41.6,29.6,14.5,13.9,10.8,7.6,58.7,50.1
"13",2021-03-22,37.8,25.9,11,10.7,8.2,4.6,53.2,45.1,34,22.4,7.7,7.6,5.1,1.7,47.7,39.9,41.6,29.5,14.4,13.8,11.2,7.5,58.6,50.3
"14",2021-03-23,38.1,25.6,11.2,10.5,8.2,4.8,53.4,45,34.4,22.1,7.9,7.3,5.2,1.8,48,39.9,41.8,29.2,14.5,13.7,11.2,7.7,58.8,50.2
"15",2021-03-24,38.4,25.3,11.1,10.3,8.4,4.4,53.2,44.8,34.7,21.8,7.8,7.1,5.4,1.5,47.8,39.6,42.2,28.8,14.4,13.4,11.4,7.3,58.6,49.9
"16",2021-03-25,38.6,25.3,11.1,10.3,8.4,4.5,53.4,44.7,34.9,21.8,7.8,7.2,5.4,1.6,48,39.6,42.3,28.8,14.3,13.4,11.4,7.4,58.7,49.9
"17",2021-03-26,39.3,24.9,10.9,10,8.9,4.5,53.7,44.7,35.6,21.4,7.6,6.9,5.8,1.6,48.3,39.6,43,28.3,14.3,13.1,11.9,7.3,59.1,49.8
