"","Fecha","Derecha","Izquierda","Días restantes"
"1",2021-03-10,87,10,55
"2",2021-03-11,87,10,54
"3",2021-03-12,85,11,53
"4",2021-03-13,86,10,52
"5",2021-03-14,85,11,51
"6",2021-03-15,84,11,50
"7",2021-03-16,82,13,49
"8",2021-03-17,82,13,48
"9",2021-03-18,82,13,47
"10",2021-03-19,82,13,46
"11",2021-03-20,82,13,45
"12",2021-03-21,82,13,44
"13",2021-03-22,80,14,43
"14",2021-03-23,82,13,42
"15",2021-03-24,82,13,41
"16",2021-03-25,84,12,40
"17",2021-03-26,85,11,39
"18",2021-03-27,85,10,38
"19",2021-03-28,83,12,37
"20",2021-03-29,83,12,36
"21",2021-03-30,84,12,35
"22",2021-03-31,86,10,34
"23",2021-04-01,86,10,33
"24",2021-04-02,86,10,32
"25",2021-04-03,83,12,31
"26",2021-04-04,84,12,30
"27",2021-04-05,83,13,29
"28",2021-04-06,83,13,28
"29",2021-04-07,86,10,27
"30",2021-04-08,86,10,26
"31",2021-04-09,84,11,25
"32",2021-04-10,81,14,24
"33",2021-04-11,83,12,23
"34",2021-04-12,82,12,22
"35",2021-04-13,81,14,21
"36",2021-04-14,85,11,20
"37",2021-04-15,86,10,19
"38",2021-04-16,86,10,18
"39",2021-04-17,85,11,17
"40",2021-04-18,84,11,16
"41",2021-04-19,86,10,15
"42",2021-04-20,85,11,14
"43",2021-04-21,84,11,13
"44",2021-04-22,85,11,12
"45",2021-04-23,83,12,11
"46",2021-04-24,86,10,10
"47",2021-04-25,85,11,9
"48",2021-04-26,86,10,8
"49",2021-04-27,84,12,7
"50",2021-04-28,85,10,6
"51",2021-04-29,86,10,5
"52",2021-04-30,86,10,4
"53",2021-05-01,86,10,3
"54",2021-05-02,86,10,2
"55",2021-05-03,87,9,1
"56",2021-05-04,89,8,0
