"","Suceso","Probabilidad"
"1","PP+Vox mayoría absoluta","74%"
"2","PP+Cs mayoría absoluta","9%"
"3","Izquierda+Cs mayoría absoluta","20%"
"4","PP mayoría absoluta en solitario","3%"
"5","PP+Vox no suman mayoría absoluta","26%"
"6","La Izquierda no suma mayoría absoluta","92%"
"7","La Derecha no suma mayoría absoluta","11%"
"8","Ni la Izquierda ni PP+Vox obtienen mayoría absoluta","18%"
"9","Ni la Izquierda ni PP+Vox obtienen mayoría absoluta y Cs consigue representación","15%"
"10","Cs supera el 5% y obtiene representación","30%"
"11","Cs no supera el 5% y no obtiene representación","70%"
"12","Vox no supera el 5% y no obtiene representación","4%"
"13","UP no supera el 5% y no obtiene representación","15%"
