"","n_esc","Derecha","Izquierda"
"1",35,0,NA
"2",36,0,NA
"3",37,0,NA
"4",38,0,NA
"5",39,0,NA
"6",40,0,NA
"7",41,0,NA
"8",42,0,0.01
"9",43,0,0.03
"10",44,0,0.02
"11",45,0,0.06
"12",46,0,0.09
"13",47,0,0.21
"14",48,0,0.23
"15",49,0,0.56
"16",50,0,0.64
"17",51,0,0.95
"18",52,0.01,1.25
"19",53,0,1.64
"20",54,0,2.47
"21",55,0,3.14
"22",56,0,4.04
"23",57,0.02,4.71
"24",58,0.03,5.63
"25",59,0.06,6.73
"26",60,0.14,7.5
"27",61,0.18,7.75
"28",62,0.26,8.16
"29",63,0.63,8.33
"30",64,0.85,7.24
"31",65,1.34,6.6
"32",66,1.67,5.63
"33",67,2.62,4.95
"34",68,3.62,3.62
"35",69,4.95,2.62
"36",70,5.63,1.67
"37",71,6.6,1.34
"38",72,7.24,0.85
"39",73,8.33,0.63
"40",74,8.16,0.26
"41",75,7.75,0.18
"42",76,7.5,0.14
"43",77,6.73,0.06
"44",78,5.63,0.03
"45",79,4.71,0.02
"46",80,4.04,NA
"47",81,3.14,NA
"48",82,2.47,NA
"49",83,1.64,NA
"50",84,1.25,0.01
"51",85,0.95,NA
"52",86,0.64,NA
"53",87,0.56,NA
"54",88,0.23,NA
"55",89,0.21,NA
"56",90,0.09,NA
"57",91,0.06,NA
"58",92,0.02,NA
"59",93,0.03,NA
"60",94,0.01,NA
"61",95,0,NA
"62",96,0,NA
"63",97,0,NA
"64",98,0,NA
"65",99,0,NA
"66",100,0,NA
