"","n_esc","Cs","MM","PP","PSOE","UP","Vox"
"1","1","30","100","100","100","85","96"
"2","2","30","100","100","100","85","96"
"3","3","30","100","100","100","85","96"
"4","4","30","100","100","100","85","96"
"5","5","30","100","100","100","85","96"
"6","6","30","100","100","100","85","96"
"7","7","29","100","100","100","85","96"
"8","8","","100","100","100","79","94"
"9","9","","100","100","100","69","91"
"10","10","","100","100","100","57","84"
"11","11","","100","100","100","45","76"
"12","12","","100","100","100","32","65"
"13","13","","100","100","100","22","54"
"14","14","","100","100","100","","41"
"15","15","","99","100","100","","29"
"16","16","","99","100","100","","20"
"17","17","","97","100","100","",""
"18","18","","95","100","100","",""
"19","19","","91","100","100","",""
"20","20","","86","100","99","",""
"21","21","","79","100","99","",""
"22","22","","70","100","98","",""
"23","23","","60","100","95","",""
"24","24","","50","100","92","",""
"25","25","","39","100","88","",""
"26","26","","29","100","81","",""
"27","27","","21","100","73","",""
"28","28","","","100","64","",""
"29","29","","","100","53","",""
"30","30","","","100","42","",""
"31","31","","","100","32","",""
"32","32","","","100","23","",""
"33","33","","","100","","",""
"34","34","","","100","","",""
"35","35","","","100","","",""
"36","36","","","100","","",""
"37","37","","","100","","",""
"38","38","","","100","","",""
"39","39","","","100","","",""
"40","40","","","100","","",""
"41","41","","","100","","",""
"42","42","","","100","","",""
"43","43","","","100","","",""
"44","44","","","100","","",""
"45","45","","","100","","",""
"46","46","","","100","","",""
"47","47","","","100","","",""
"48","48","","","100","","",""
"49","49","","","99","","",""
"50","50","","","98","","",""
"51","51","","","97","","",""
"52","52","","","95","","",""
"53","53","","","92","","",""
"54","54","","","89","","",""
"55","55","","","85","","",""
"56","56","","","79","","",""
"57","57","","","72","","",""
"58","58","","","64","","",""
"59","59","","","56","","",""
"60","60","","","47","","",""
"61","61","","","38","","",""
"62","62","","","31","","",""
"63","63","","","24","","",""
