"","fecha","iteracion","Cs","Más.Madrid","PP","PSOE","Unidas.Podemos","Vox","DCH","IZQ","esc.dif","ganador"
"1",2021-04-28,1145,0,25,60,43,0,8,68,68,0,"Empate"
"2",2021-04-28,3059,0,28,56,31,9,12,68,68,0,"Empate"
"3",2021-04-28,600,0,26,56,30,12,12,68,68,0,"Empate"
"4",2021-04-28,892,0,24,56,28,16,12,68,68,0,"Empate"
"5",2021-04-28,9776,0,24,58,34,10,10,68,68,0,"Empate"
"6",2021-04-28,5073,9,18,54,29,13,13,76,60,16,"Izquierda"
"7",2021-04-28,2235,0,19,60,28,14,15,75,61,14,"Izquierda"
"8",2021-04-28,578,0,23,60,28,12,13,73,63,10,"Izquierda"
"9",2021-04-28,9968,0,27,60,30,10,9,69,67,2,"Izquierda"
"10",2021-04-28,6167,0,27,60,22,9,18,78,58,20,"Izquierda"
"11",2021-04-28,6554,12,22,56,30,7,9,77,59,18,"Izquierda"
"12",2021-04-28,3086,8,23,62,34,9,0,70,66,4,"Izquierda"
"13",2021-04-28,7587,11,18,60,34,13,0,71,65,6,"Izquierda"
"14",2021-04-28,8513,0,33,55,20,11,17,72,64,8,"Izquierda"
"15",2021-04-28,8318,12,21,57,32,14,0,69,67,2,"Izquierda"
"16",2021-04-28,4781,0,19,57,37,9,14,71,65,6,"Izquierda"
"17",2021-04-28,8905,0,21,58,36,8,13,71,65,6,"Izquierda"
"18",2021-04-28,9205,7,23,59,28,7,12,78,58,20,"Izquierda"
"19",2021-04-28,5835,0,25,57,31,13,10,67,69,-2,"Derecha"
"20",2021-04-28,2894,0,26,61,33,16,0,61,75,-14,"Derecha"
"21",2021-04-28,2157,0,32,50,28,9,17,67,69,-2,"Derecha"
"22",2021-04-28,9665,0,21,55,36,15,9,64,72,-8,"Derecha"
"23",2021-04-28,4378,0,25,55,36,10,10,65,71,-6,"Derecha"
"24",2021-04-28,2452,0,25,61,33,17,0,61,75,-14,"Derecha"
"25",2021-04-28,3343,0,23,53,35,14,11,64,72,-8,"Derecha"
"26",2021-04-28,171,0,26,56,32,13,9,65,71,-6,"Derecha"
"27",2021-04-28,9873,0,21,64,36,15,0,64,72,-8,"Derecha"
"28",2021-04-28,366,0,26,51,35,9,15,66,70,-4,"Derecha"
"29",2021-04-28,8505,0,24,55,32,13,12,67,69,-2,"Derecha"
"30",2021-04-28,6613,0,29,54,32,9,12,66,70,-4,"Derecha"
"31",2021-04-28,9333,0,27,53,35,9,12,65,71,-6,"Derecha"
"32",2021-04-28,5443,8,29,45,28,15,11,64,72,-8,"Derecha"
"33",2021-04-28,2191,0,24,53,35,12,12,65,71,-6,"Derecha"
"34",2021-04-28,8879,0,27,66,34,9,0,66,70,-4,"Derecha"
"35",2021-04-28,5208,0,27,50,32,15,12,62,74,-12,"Derecha"
"36",2021-04-28,1302,0,23,56,36,14,7,63,73,-10,"Derecha"
"37",2021-04-28,8485,0,20,67,40,9,0,67,69,-2,"Derecha"
"38",2021-04-28,6988,0,26,56,36,8,10,66,70,-4,"Derecha"
"39",2021-04-28,5762,0,26,60,34,9,7,67,69,-2,"Derecha"
"40",2021-04-28,5853,0,27,61,34,14,0,61,75,-14,"Derecha"
"41",2021-04-28,2075,0,25,63,32,16,0,63,73,-10,"Derecha"
"42",2021-04-28,8746,8,26,58,31,13,0,66,70,-4,"Derecha"
"43",2021-04-28,1318,0,23,57,36,13,7,64,72,-8,"Derecha"
"44",2021-04-28,9476,0,29,57,38,12,0,57,79,-22,"Derecha"
"45",2021-04-28,4296,0,28,56,33,9,10,66,70,-4,"Derecha"
"46",2021-04-28,1713,0,26,55,33,11,11,66,70,-4,"Derecha"
"47",2021-04-28,2516,0,29,48,28,13,18,66,70,-4,"Derecha"
"48",2021-04-28,7590,0,22,58,36,11,9,67,69,-2,"Derecha"
"49",2021-04-28,7234,0,23,53,35,18,7,60,76,-16,"Derecha"
"50",2021-04-28,56,0,22,57,38,11,8,65,71,-6,"Derecha"
"51",2021-04-28,392,12,25,55,32,12,0,67,69,-2,"Derecha"
"52",2021-04-28,9721,0,25,57,31,14,9,66,70,-4,"Derecha"
"53",2021-04-28,9465,0,23,50,36,12,15,65,71,-6,"Derecha"
"54",2021-04-28,8959,0,25,57,33,11,10,67,69,-2,"Derecha"
"55",2021-04-28,9644,0,21,52,33,15,15,67,69,-2,"Derecha"
"56",2021-04-28,7246,10,25,46,34,14,7,63,73,-10,"Derecha"
"57",2021-04-28,5534,0,22,63,34,17,0,63,73,-10,"Derecha"
"58",2021-04-28,2766,0,31,49,31,11,14,63,73,-10,"Derecha"
"59",2021-04-28,2636,0,28,54,31,14,9,63,73,-10,"Derecha"
"60",2021-04-28,674,0,35,54,27,12,8,62,74,-12,"Derecha"
"61",2021-04-28,9765,0,29,55,31,11,10,65,71,-6,"Derecha"
"62",2021-04-28,4739,0,31,53,29,12,11,64,72,-8,"Derecha"
"63",2021-04-28,2757,0,28,52,33,9,14,66,70,-4,"Derecha"
"64",2021-04-28,4777,0,23,55,34,14,10,65,71,-6,"Derecha"
"65",2021-04-28,9718,0,30,61,33,12,0,61,75,-14,"Derecha"
"66",2021-04-28,9535,0,18,54,40,11,13,67,69,-2,"Derecha"
"67",2021-04-28,4702,0,25,49,30,14,18,67,69,-2,"Derecha"
"68",2021-04-28,9177,11,28,52,32,13,0,63,73,-10,"Derecha"
"69",2021-04-28,3989,0,22,56,37,11,10,66,70,-4,"Derecha"
