"","fecha","PP","PSOE","MM","Vox","UP","Cs","Derecha","Izquierda","PP.min","PSOE.min","MM.min","Vox.min","UP.min","Cs.min","Derecha.min","Izquierda.min","PP.max","PSOE.max","MM.max","Vox.max","UP.max","Cs.max","Derecha.max","Izquierda.max"
"1",2021-03-10,30.7,26.9,12.8,16.4,5.3,6.2,53.4,45,27.1,23.3,9.4,13.1,2.3,3.1,47.9,39.8,34.4,30.4,16.2,19.8,8.3,9.2,58.8,50.2
"2",2021-03-11,33.7,27.7,12.3,14.4,5.1,5.5,53.7,45.1,29.9,24.2,8.9,11.1,2.2,2.5,48.3,40,37.4,31.3,15.6,17.7,8,8.6,59.1,50.2
"3",2021-03-12,34.4,27.5,12.1,13.9,5.4,5.1,53.4,45,30.7,23.9,8.7,10.6,2.4,2.1,48,39.9,38.1,31.1,15.5,17.2,8.4,8,58.8,50.2
"4",2021-03-13,34,27.5,12.2,13.9,5.2,5.4,53.4,44.9,30.3,23.9,8.8,10.6,2.2,2.4,47.9,39.7,37.7,31.1,15.6,17.2,8.1,8.5,58.8,50.1
"5",2021-03-14,34.1,27.5,12.2,13.9,5.3,5.5,53.4,45,30.4,23.9,8.9,10.7,2.3,2.4,48,39.8,37.8,31.1,15.6,17.2,8.3,8.5,58.9,50.2
"6",2021-03-15,35.3,27,11.9,13.1,6,5.2,53.6,45,31.6,23.5,8.5,9.9,3,2.1,48.2,39.8,39.1,30.6,15.3,16.3,9,8.2,58.9,50.2
"7",2021-03-16,35.8,26.3,11.6,12.5,7,5,53.4,44.9,32.1,22.8,8.2,9.3,3.9,2,48,39.7,39.5,29.9,14.9,15.8,10.1,8,58.7,50.2
"8",2021-03-17,36.3,26.3,11.5,12.2,7.1,5,53.6,45,32.6,22.8,8.2,9,4,2.1,48.2,39.7,40,29.8,14.9,15.4,10.2,8,58.9,50.2
"9",2021-03-18,36.3,26.2,11.5,12.2,7.1,5,53.5,44.8,32.6,22.6,8.2,8.9,4.1,2,48.1,39.6,40,29.8,14.9,15.5,10.1,8,58.9,50
"10",2021-03-19,36.4,26.3,11.6,12.2,7,4.9,53.4,44.8,32.6,22.7,8.2,9,4,1.9,48,39.6,40.1,29.8,14.9,15.5,10,7.9,58.9,49.9
"11",2021-03-20,36.6,26.2,11.4,12,7.5,5,53.6,45.1,32.9,22.7,8,8.7,4.5,2,48.1,39.9,40.3,29.8,14.7,15.2,10.5,8,59,50.3
"12",2021-03-21,37.7,26.2,11.1,11,7.7,4.8,53.5,44.9,33.9,22.7,7.8,7.8,4.6,1.8,48.1,39.8,41.4,29.7,14.4,14.2,10.7,7.8,58.8,50
"13",2021-03-22,37.5,25.8,11,10.8,8.1,4.9,53.3,44.9,33.8,22.2,7.6,7.6,5.1,1.9,47.9,39.7,41.3,29.4,14.3,14.1,11.2,7.9,58.7,50.1
"14",2021-03-23,37.9,25.7,11.1,10.6,8.1,5,53.4,44.8,34.1,22.1,7.8,7.4,5.1,2,48,39.7,41.7,29.2,14.4,13.8,11.1,8,58.8,49.9
"15",2021-03-24,38.5,25.2,11,10.4,8.4,4.6,53.5,44.6,34.7,21.7,7.6,7.2,5.3,1.6,48.1,39.4,42.2,28.7,14.3,13.6,11.4,7.5,58.8,49.8
"16",2021-03-25,38.6,25.2,11,10.4,8.4,4.7,53.7,44.5,34.9,21.7,7.6,7.2,5.4,1.7,48.3,39.4,42.4,28.7,14.3,13.6,11.4,7.6,59.1,49.6
"17",2021-03-26,39.1,24.9,10.9,10.1,8.7,4.6,53.9,44.4,35.3,21.4,7.6,6.9,5.6,1.7,48.5,39.3,42.9,28.4,14.3,13.3,11.8,7.6,59.4,49.6
"18",2021-03-27,39,25.6,10.8,9.9,8.2,4.9,53.9,44.5,35.3,22.1,7.4,6.8,5.1,2,48.5,39.3,42.8,29.1,14.2,13.1,11.2,7.9,59.3,49.6
"19",2021-03-28,39.4,25,11.4,9.1,8.2,4.8,53.4,44.6,35.7,21.5,8.1,5.9,5.2,1.8,48,39.4,43.2,28.5,14.7,12.3,11.3,7.8,58.8,49.7
"20",2021-03-29,39.4,25.1,11.3,9.3,8.2,4.6,53.4,44.5,35.7,21.5,7.9,6.2,5.2,1.7,48.1,39.3,43.2,28.6,14.6,12.5,11.2,7.6,58.8,49.7
"21",2021-03-30,39.7,24.7,11.7,9,8.1,4.6,53.3,44.5,35.9,21.3,8.3,5.9,5.1,1.7,48,39.4,43.5,28.2,15.1,12.2,11.1,7.6,58.6,49.7
"22",2021-03-31,39.7,24.5,11.8,9.3,8,4.7,53.7,44.4,35.9,21,8.5,6.1,5,1.8,48.3,39.2,43.5,28,15.2,12.5,11,7.6,59.1,49.6
"23",2021-04-01,40,24.7,11.6,9.1,8,4.6,53.8,44.3,36.3,21.3,8.2,6,5,1.7,48.4,39.2,43.8,28.2,14.9,12.3,11,7.6,59.1,49.4
"24",2021-04-02,40.1,24.5,11.7,9.2,8.2,4.4,53.7,44.3,36.4,21,8.3,6,5.2,1.4,48.4,39.2,43.8,28,15.1,12.4,11.2,7.3,59.1,49.5
"25",2021-04-03,39.9,24.8,11.8,8.9,8,4.6,53.4,44.7,36.1,21.3,8.5,5.7,5,1.7,48.1,39.6,43.7,28.3,15.2,12.1,11,7.5,58.7,49.7
"26",2021-04-04,40,24.8,11.8,8.9,7.9,4.5,53.5,44.4,36.2,21.3,8.4,5.7,4.9,1.6,48.1,39.3,43.7,28.3,15.2,12.1,10.9,7.5,58.8,49.6
"27",2021-04-05,40.1,24.6,12,8.8,8,4.6,53.5,44.6,36.3,21.2,8.7,5.6,5,1.7,48.2,39.5,43.8,28.1,15.4,12,11.1,7.5,58.8,49.8
"28",2021-04-06,40.1,24.7,12.1,8.8,8.1,4.5,53.5,44.9,36.3,21.2,8.8,5.7,5,1.5,48.1,39.7,43.9,28.2,15.5,12,11.1,7.4,58.8,50
"29",2021-04-07,40.5,24.4,12,9.1,8,4.2,53.9,44.4,36.7,21,8.6,5.9,5,1.3,48.5,39.3,44.3,27.9,15.4,12.3,11.1,7.2,59.2,49.6
"30",2021-04-08,40.8,24.3,12.2,9,7.9,4.2,54,44.4,37,20.8,8.8,5.8,4.9,1.3,48.6,39.3,44.5,27.8,15.6,12.1,10.9,7.1,59.3,49.5
"31",2021-04-09,40.7,24.5,12.1,9.1,8.2,4.2,54.1,44.7,37,21,8.7,6,5.1,1.3,48.8,39.5,44.5,28,15.5,12.3,11.2,7.2,59.5,49.9
"32",2021-04-10,41,24.9,11.9,8.5,8.2,4.3,53.8,45,37.2,21.4,8.6,5.4,5.2,1.3,48.5,39.9,44.8,28.4,15.2,11.7,11.2,7.2,59.1,50.1
"33",2021-04-11,40.9,24.8,11.9,8.7,8.1,4.2,53.9,44.8,37.2,21.3,8.5,5.6,5.1,1.3,48.7,39.7,44.7,28.2,15.3,11.9,11.1,7.2,59.2,49.9
"34",2021-04-12,41,24.7,11.9,8.7,8.1,4.1,53.8,44.7,37.2,21.2,8.5,5.6,5.1,1.2,48.5,39.6,44.8,28.2,15.2,11.9,11.1,7,59.1,49.8
"35",2021-04-13,40.8,24.6,12.5,8.8,7.8,4,53.7,44.9,37.1,21.1,9.1,5.7,4.8,1.1,48.4,39.8,44.6,28.1,15.9,12,10.8,6.9,59.1,50.1
"36",2021-04-14,40.8,24.5,12.5,8.9,7.6,4.4,54.1,44.6,37,21,9.1,5.7,4.6,1.5,48.8,39.5,44.6,28,15.8,12,10.6,7.3,59.4,49.7
"37",2021-04-15,41.1,23.6,13,8.9,7.6,4.2,54.2,44.2,37.3,20.1,9.6,5.7,4.6,1.3,48.9,39,44.9,27.1,16.3,12.1,10.6,7.1,59.5,49.3
"38",2021-04-16,41.7,23.7,13.2,8.8,7.3,4,54.5,44.2,37.9,20.2,9.8,5.7,4.3,1.1,49.2,39.1,45.5,27.2,16.6,12,10.3,6.8,59.8,49.4
"39",2021-04-17,41.2,23.7,13.1,8.7,7.7,4.3,54.2,44.4,37.4,20.3,9.7,5.5,4.6,1.4,48.8,39.3,44.9,27.2,16.4,11.8,10.7,7.2,59.5,49.5
"40",2021-04-18,41.2,23.7,13.1,8.8,7.6,4.2,54.2,44.5,37.3,20.3,9.8,5.6,4.6,1.4,48.9,39.4,45,27.2,16.5,11.9,10.6,7.1,59.5,49.6
"41",2021-04-19,41,23.4,13.4,9,7.4,4.2,54.3,44.2,37.3,20,10,5.9,4.4,1.4,48.9,39.1,44.8,26.8,16.7,12.2,10.4,7.1,59.6,49.2
"42",2021-04-20,40.9,23.1,13.8,8.8,7.5,4.2,53.9,44.4,37.2,19.7,10.5,5.6,4.5,1.3,48.5,39.3,44.7,26.6,17.2,12,10.5,7,59.2,49.5
