"","Fecha","Derecha","Izquierda","Días restantes"
"1",2021-03-10,86,10,55
"2",2021-03-11,86,10,54
"3",2021-03-12,85,11,53
"4",2021-03-13,86,10,52
"5",2021-03-14,86,10,51
"6",2021-03-15,85,11,50
"7",2021-03-16,84,12,49
"8",2021-03-17,84,12,48
"9",2021-03-18,84,12,47
"10",2021-03-19,84,11,46
"11",2021-03-20,83,12,45
"12",2021-03-21,84,12,44
"13",2021-03-22,83,12,43
"14",2021-03-23,84,12,42
"15",2021-03-24,84,11,41
"16",2021-03-25,85,11,40
"17",2021-03-26,86,10,39
"18",2021-03-27,86,10,38
"19",2021-03-28,83,12,37
"20",2021-03-29,84,12,36
"21",2021-03-30,84,12,35
"22",2021-03-31,86,11,34
"23",2021-04-01,86,10,33
"24",2021-04-02,85,11,32
"25",2021-04-03,83,12,31
"26",2021-04-04,84,12,30
"27",2021-04-05,83,12,29
"28",2021-04-06,82,13,28
"29",2021-04-07,86,10,27
"30",2021-04-08,86,10,26
"31",2021-04-09,86,10,25
"32",2021-04-10,83,13,24
"33",2021-04-11,85,11,23
"34",2021-04-12,85,11,22
"35",2021-04-13,83,13,21
"36",2021-04-14,86,10,20
"37",2021-04-15,88,9,19
"38",2021-04-16,88,8,18
"39",2021-04-17,86,10,17
"40",2021-04-18,87,9,16
"41",2021-04-19,88,8,15
"42",2021-04-20,86,10,14
"43",2021-04-21,86,10,13
"44",2021-04-22,85,10,12
"45",2021-04-23,84,11,11
"46",2021-04-24,86,10,10
"47",2021-04-25,86,10,9
"48",2021-04-26,87,9,8
"49",2021-04-27,84,12,7
"50",2021-04-28,84,11,6
