"","Suceso","Probabilidad"
"1","PP+Vox mayoría absoluta","68%"
"2","PP+Cs mayoría absoluta","13%"
"3","Izquierda+Cs mayoría absoluta","26%"
"4","PP mayoría absoluta en solitario","4%"
"5","PP+Vox no suman mayoría absoluta","32%"
"6","La Izquierda no suma mayoría absoluta","91%"
"7","La Derecha no suma mayoría absoluta","13%"
"8","Ni la Izquierda ni PP+Vox obtienen mayoría absoluta","29%"
"9","Ni la Izquierda ni PP+Vox obtienen mayoría absoluta y Cs consigue representación","11%"
"10","Cs supera el 5% y obtiene representación","37%"
"11","Cs no supera el 5% y no obtiene representación","63%"
"12","Vox no supera el 5% y no obtiene representación","7%"
"13","UP no supera el 5% y no obtiene representación","15%"
