"","n_esc","Derecha","Izquierda"
"1",35,0,NA
"2",36,0,NA
"3",37,0,NA
"4",38,0,NA
"5",39,0,NA
"6",40,0,NA
"7",41,0,NA
"8",42,0,NA
"9",43,0,0.04
"10",44,0,0.03
"11",45,0,0.03
"12",46,0,0.06
"13",47,0,0.14
"14",48,0,0.33
"15",49,0,0.39
"16",50,0,0.51
"17",51,0,0.81
"18",52,0,1.12
"19",53,0,2.06
"20",54,0,2.2
"21",55,0.01,3.32
"22",56,0.05,3.91
"23",57,0.05,4.79
"24",58,0.05,5.47
"25",59,0.02,5.76
"26",60,0.13,6.91
"27",61,NA,7.67
"28",62,NA,7.97
"29",63,NA,7.61
"30",64,NA,7.61
"31",65,NA,6.44
"32",66,NA,5.86
"33",67,NA,4.92
"34",68,NA,4.06
"35",69,NA,3.06
"36",70,NA,2.41
"37",71,NA,1.7
"38",72,NA,1.1
"39",73,NA,0.74
"40",74,NA,0.44
"41",75,NA,0.22
"42",76,NA,0.13
"43",77,NA,0.02
"44",78,NA,0.05
"45",79,NA,0.05
"46",80,NA,0.05
"47",81,NA,0.01
