"","n_esc","Cs","MM","PP","PSOE","UP","Vox"
"1","1","33","100","100","100","86","95"
"2","2","33","100","100","100","86","95"
"3","3","33","100","100","100","86","95"
"4","4","33","100","100","100","86","95"
"5","5","33","100","100","100","86","95"
"6","6","33","100","100","100","86","95"
"7","7","31","100","100","100","85","95"
"8","8","22","100","100","100","80","93"
"9","9","","100","100","100","70","89"
"10","10","","100","100","100","59","82"
"11","11","","100","100","100","47","74"
"12","12","","100","100","100","34","63"
"13","13","","99","100","100","23","51"
"14","14","","99","100","100","","39"
"15","15","","98","100","100","","28"
"16","16","","96","100","100","",""
"17","17","","94","100","100","",""
"18","18","","89","100","100","",""
"19","19","","84","100","100","",""
"20","20","","76","100","100","",""
"21","21","","66","100","100","",""
"22","22","","56","100","99","",""
"23","23","","45","100","99","",""
"24","24","","35","100","98","",""
"25","25","","26","100","96","",""
"26","26","","","100","93","",""
"27","27","","","100","89","",""
"28","28","","","100","83","",""
"29","29","","","100","75","",""
"30","30","","","100","66","",""
"31","31","","","100","56","",""
"32","32","","","100","45","",""
"33","33","","","100","35","",""
"34","34","","","100","26","",""
"35","35","","","100","","",""
"36","36","","","100","","",""
"37","37","","","100","","",""
"38","38","","","100","","",""
"39","39","","","100","","",""
"40","40","","","100","","",""
"41","41","","","100","","",""
"42","42","","","100","","",""
"43","43","","","100","","",""
"44","44","","","100","","",""
"45","45","","","100","","",""
"46","46","","","100","","",""
"47","47","","","100","","",""
"48","48","","","99","","",""
"49","49","","","99","","",""
"50","50","","","97","","",""
"51","51","","","95","","",""
"52","52","","","93","","",""
"53","53","","","90","","",""
"54","54","","","84","","",""
"55","55","","","78","","",""
"56","56","","","72","","",""
"57","57","","","64","","",""
"58","58","","","55","","",""
"59","59","","","47","","",""
"60","60","","","38","","",""
"61","61","","","31","","",""
"62","62","","","24","","",""
